CÓD. AGENTE,FORNECEDOR,MÉDIA IQF,DATA
20414,CONTROLIBRA SOLUCOES EM PESAGENS LTDA,100,2025-04-30 00:00:00
3670,"CORAX INDUSTRIA, COMERCIO E SERVICOS DE MATERIAIS DE SEGURANCA EIRELI",88.75,2025-04-25 00:00:00
4548,"CORAX INDUSTRIA, COMERCIO E SERVICOS DE MATERIAIS DE SEGURANCA EIRELI",100,2025-04-25 12:22:04
4548,"CORAX INDUSTRIA, COMERCIO E SERVICOS DE MATERIAIS DE SEGURANCA EIRELI",88.75,2025-04-30 00:00:00
2814,COTIMA COMERCIO DE TINTAS MACAE LTDA,88.75,2025-04-29 09:16:01
3075,CPR PRODUTOS E SERVICOS OFFSHORE LTDA,60,2025-04-07 00:00:00
3075,CPR PRODUTOS E SERVICOS OFFSHORE LTDA,85.62,2025-04-17 11:34:09
20286,CPX DISTRIBUIDORA S/A,100,2025-04-29 16:02:16
17497,D E M EMPREENDIMENTOS LTDA,100,2025-04-14 15:48:07
17497,D E M EMPREENDIMENTOS LTDA,100,2025-04-30 00:00:00
2993,D KELLY OLIVE MARTINEZ,93.75,2025-04-29 00:00:00
21078,D L K COMERCIO VAREJISTA DE ALIMENTOS LTDA,100,2025-04-30 00:00:00
4534,D. S. FRANCA COMERCIO E SERVICOS,50,2025-04-02 00:00:00
4534,D. S. FRANCA COMERCIO E SERVICOS,80,2025-04-07 00:00:00
4534,D. S. FRANCA COMERCIO E SERVICOS,97.5,2025-04-08 00:00:00
18178,DAFEL LAGOS COMERCIO DE ACO E MAQUINAS LTDA,80,2025-04-24 11:04:13
18178,DAFEL LAGOS COMERCIO DE ACO E MAQUINAS LTDA,100,2025-04-25 00:00:00
7540,"DAFONTE VEICULOS, TRATORES, PECAS E SERVICOS LTDA",100,2025-04-14 10:25:34
16194,DANIEL TEIXEIRA DOS SANTOS,100,2025-04-07 00:00:00
3651,DELL COMPUTADORES DO BRASIL LTDA,100,2025-04-30 00:00:00
18181,DELU IMPORTACAO E COMERCIO ATACADISTA LTDA,80,2025-04-30 00:00:00
19495,DESTAQUE BRINDES PERSONALIZADOS LTDA,100,2025-04-14 18:44:13
7661,"DG CARRINHOS, RODIZIOS E RODAS EIRELI",75.62,2025-04-30 00:00:00
21048,DIGITO 10001 COMERCIO VAREJO E ATACADO DE ELETROELETRONICOS,100,2025-04-16 00:00:00
21048,DIGITO 10001 COMERCIO VAREJO E ATACADO DE ELETROELETRONICOS,100,2025-04-16 17:02:55
21048,DIGITO 10001 COMERCIO VAREJO E ATACADO DE ELETROELETRONICOS,100,2025-04-16 17:11:06
17382,DILMA DA M COSTA LTDA,88.75,2025-04-24 08:42:14
17382,DILMA DA M COSTA LTDA,80,2025-04-30 00:00:00
16962,DIMENSIONAL BRASIL SOLUCOES LTDA,100,2025-04-04 09:48:47
15708,DISMACON COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA,100,2025-04-30 17:46:26
15708,DISMACON COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA,100,2025-04-30 17:51:16
21075,DM BRASIL LTDA,80,2025-04-29 00:00:00
7874,DUTRA - PRODUTOS DE LIMPEZA E DESCARTAVEIS LTDA,100,2025-04-03 00:00:00
8473,DYNAMIC COMERCIO SERVICO E REPRESENTACAO LTDA,100,2025-04-02 00:00:00
4009,E M DE OLIVEIRA LABORATORIO DE METROLOGIA EIRELI,80,2025-04-08 00:00:00
4009,E M DE OLIVEIRA LABORATORIO DE METROLOGIA EIRELI,100,2025-04-25 00:00:00
4009,E M DE OLIVEIRA LABORATORIO DE METROLOGIA EIRELI,90,2025-04-30 00:00:00
4557,E. V. CAPAVERDE COMERCIO DE MATERIAL DE CONSTRUCAO,76.25,2025-04-15 10:09:07
4557,E. V. CAPAVERDE COMERCIO DE MATERIAL DE CONSTRUCAO,88.75,2025-04-30 00:00:00
17654,EAD PLATAFORMA TECNOLOGIA PARA EDUCACAO LTDA,100,2025-04-08 00:00:00
